package	rank	percentile
urllib3	1	1.8872615434268516
six	2	3.5151279635652397
botocore	3	4.973098982333475
setuptools	4	6.424019384293716
requests	5	7.792369370054663
python-dateutil	6	9.121445094715654
idna	7	10.433237462644907
certifi	8	11.741835927402594
s3transfer	9	12.944868021457989
chardet	10	14.117816399325447
pyyaml	11	15.286301532833631
pip	12	16.441517651023833
numpy	13	17.419841743988467
jmespath	14	18.384311069793522
rsa	15	19.33204494125312
docutils	16	20.2614835331169
pyasn1	17	21.1858547973813
boto3	18	22.08991304266753
wheel	19	22.976979663748107
cffi	20	23.803375029477905
pytz	21	24.58996543826679
markupsafe	22	25.26937660994928
protobuf	23	25.94521239253926
colorama	24	26.601292576525797
attrs	25	27.245480689095476
pycparser	26	27.88731913170686
awscli	27	28.523097186777317
jinja2	28	29.095452669787715
cryptography	29	29.66382937405025
pandas	30	30.23131869276492
importlib-metadata	31	30.749455214229588
requests-oauthlib	32	31.266096336100674
zipp	33	31.778882264741277
oauthlib	34	32.29135178825201
pyparsing	35	32.79968735272029
click	36	33.29157231027887
pyasn1-modules	37	33.738737196946
google-auth	38	34.17944176750354
cachetools	39	34.615372424087035
future	40	35.02749740493312
packaging	41	35.43057506805162
pillow	42	35.82830687261823
decorator	43	36.21360178127666
futures	44	36.58530194927517
google-api-core	45	36.93752919056577
lxml	46	37.28413995340728
jsonschema	47	37.612702175051915
google-resumable-media	48	37.940781426769036
pygments	49	38.2685124808027
pyrsistent	50	38.593120855884756
google-cloud-core	51	38.91608486867369
googleapis-common-protos	52	39.238342918663186
pyjwt	53	39.556952958544514
typing-extensions	54	39.874566180733005
yarl	55	40.18903746549459
isodate	56	40.49892540618828
werkzeug	57	40.80586775195936
multidict	58	41.10946937031648
scipy	59	41.41026278653214
pytest	60	41.70748258128171
py	61	42.00211150541279
wrapt	62	42.288161520457585
google-api-python-client	63	42.573781841588065
msrest	64	42.856044908615566
grpcio	65	43.138219779737234
toml	66	43.41603036885732
psutil	67	43.691130754033765
aiohttp	68	43.962989806789764
async-timeout	69	44.23484848871505
azure-storage-blob	70	44.50567807831399
uritemplate	71	44.772282595762995
google-cloud-storage	72	45.036697580318894
sqlalchemy	73	45.30036306654902
websocket-client	74	45.56327970958764
pyopenssl	75	45.82578955132829
coverage	76	46.08646834223121
pluggy	77	46.341917530012424
google-auth-httplib2	78	46.58726678471114
azure-core	79	46.827984957067486
appdirs	80	47.06869528017363
tqdm	81	47.309215527814594
google-cloud-bigquery	82	47.54863118199497
redis	83	47.7849909932802
itsdangerous	84	48.02041622462816
joblib	85	48.253551551568584
pexpect	86	48.484792106592856
more-itertools	87	48.71180892445778
scikit-learn	88	48.93847180912413
ptyprocess	89	49.16511583086795
flask	90	49.39094862333243
defusedxml	91	49.61528166512289
absl-py	92	49.83539995621841
matplotlib	93	50.05463099773735
prometheus-client	94	50.27189563520636
httplib2	95	50.48890740320857
prompt-toolkit	96	50.703490860418164
bleach	97	50.91525073837251
tornado	98	51.124117419784746
ipython	99	51.332690193130695
traitlets	100	51.53915563439274
webencodings	101	51.74531392893186
simplejson	102	51.94723427113409
regex	103	52.14874938188839
wcwidth	104	52.34997021374568
tensorflow	105	52.5489678783637
cython	106	52.744342353809635
ipython-genutils	107	52.937830376308526
pbr	108	53.13119658091645
entrypoints	109	53.323838565492565
bcrypt	110	53.516002747049185
tabulate	111	53.70744684951701
paramiko	112	53.8984359426935
kiwisolver	113	54.087327691493435
pyarrow	114	54.275886446669375
virtualenv	115	54.46423225848584
pynacl	116	54.65210528585852
pickleshare	117	54.83950812460245
azure-common	118	55.026042898078956
mccabe	119	55.211914403732706
beautifulsoup4	120	55.3972409118408
boto	121	55.58163337153565
parso	122	55.76550339255354
jedi	123	55.94877637611497
psycopg2-binary	124	56.1320113618888
backcall	125	56.3123211237075
typed-ast	126	56.490836460402406
dnspython	127	56.66813215958688
fsspec	128	56.84281745773503
google-crc32c	129	57.0171904793353
docker	130	57.19115084051225
google-auth-oauthlib	131	57.36423311163136
cycler	132	57.53688540453259
pycodestyle	133	57.7094624682421
babel	134	57.88192944467237
pyzmq	135	58.05430297176164
mock	136	58.225989114670455
tzlocal	137	58.39530587178777
filelock	138	58.563664909131
enum34	139	58.72385432325172
isort	140	58.88397433022301
soupsieve	141	59.04394680837354
configparser	142	59.20330617973648
nbformat	143	59.35662921811109
py4j	144	59.50834852487827
gunicorn	145	59.659689151676965
nbconvert	146	59.8109217431264
gitpython	147	59.961408272614705
sortedcontainers	148	60.11145840851373
setuptools-scm	149	60.26147469992919
lazy-object-proxy	150	60.41013948643079
mistune	151	60.55712415019702
ujson	152	60.702914788494425
jupyter-core	153	60.848458008536575
jupyter-client	154	60.99363101591163
distlib	155	61.138377938791365
testpath	156	61.28017252999046
pandocfilters	157	61.421315954809245
notebook	158	61.56224384045353
ipykernel	159	61.70283783011906
websockets	160	61.841712055245424
terminado	161	61.98013693242941
send2trash	162	62.11757778558034
argparse	163	62.25501030740113
argon2-cffi	164	62.39225638789778
oauth2client	165	62.52798894753976
tensorboard	166	62.66196415276875
pytest-runner	167	62.79558813186343
mypy-extensions	168	62.92884108246343
adal	169	63.06123140664652
requests-toolbelt	170	63.19273713887317
pyflakes	171	63.32420870522962
smmap	172	63.455677848825395
typing	173	63.58691491419663
pyspark	174	63.71746675856661
markdown	175	63.84784291570328
widgetsnbextension	176	63.97793584469833
iniconfig	177	64.10801326060835
ipywidgets	178	64.23767266377166
sqlparse	179	64.36701060614631
msgpack	180	64.49589183340831
smart-open	181	64.6220134249919
flake8	182	64.74697996541519
contextlib2	183	64.8702270008808
gitdb	184	64.99286718423693
async-generator	185	65.1152108389897
termcolor	186	65.23740668061816
importlib-resources	187	65.35912123341836
ipaddress	188	65.47922285800934
tensorflow-metadata	189	65.59908644636224
pandas-gbq	190	65.71859037836248
pydata-google-auth	191	65.83779429595059
asn1crypto	192	65.95554932847824
tensorflow-estimator	193	66.07278555646995
nest-asyncio	194	66.1897239703118
rfc3986	195	66.30615463037314
azure-devops	196	66.42086305369052
psycopg2	197	66.53513033678541
jupyter-console	198	66.64912683928982
xlrd	199	66.76282676374674
nbclient	200	66.87625860231638
zope-interface	201	66.98931252730101
qtconsole	202	67.10235009865096
jupyterlab-pygments	203	67.21421577076495
h5py	204	67.32607375432205
gensim	205	67.43773686633668
h11	206	67.54906210212286
tensorflow-serving-api	207	67.66031079844878
jupyter	208	67.77138049478697
slackclient	209	67.88200973075898
gast	210	67.99250224144518
qtpy	211	68.10236149687475
pymysql	212	68.21207128280281
google-cloud-logging	213	68.32141900197854
retrying	214	68.43042320829889
tensorflow-transform	215	68.53819807370502
networkx	216	68.64574280156738
pymongo	217	68.7529133241519
keras-preprocessing	218	68.85729176337017
distro	219	68.96114694808391
pytest-cov	220	69.06491024094565
pathspec	221	69.16863528879932
alembic	222	69.27100902951551
tfx-bsl	223	69.37161405603771
cloudpickle	224	69.47167092059212
mako	225	69.57032755307631
pylint	226	69.66887411064226
astroid	227	69.7672230277964
azure-storage-common	228	69.86428994607431
msrestazure	229	69.96105300566165
pycryptodomex	230	70.05680014977418
s3fs	231	70.15200082537919
uvloop	232	70.24713281077415
datadog	233	70.34156356764184
sniffio	234	70.43520873199384
aiofiles	235	70.52865675037498
tenacity	236	70.621730427507
gcsfs	237	70.71362173561579
dill	238	70.80432173768104
tensorflow-data-validation	239	70.89497712881088
nltk	240	70.9854575002027
httptools	241	71.07591815576131
httpx	242	71.16588961143637
django	243	71.25578625819453
pathlib2	244	71.34550224858775
python-editor	245	71.43401348414336
docopt	246	71.52197846132889
xmltodict	247	71.60927454642577
pycryptodome	248	71.69630719338038
aioopenssl	249	71.78319941910297
aiosasl	250	71.87001871478432
xlsxwriter	251	71.9564877979353
ruamel-yaml	252	72.04277685513357
atomicwrites	253	72.12902478720518
tensorflow-model-analysis	254	72.21506684642304
ordereddict	255	72.30089371257505
ruamel-yaml-clib	256	72.38609537049705
aioconsole	257	72.47096588894861
threadpoolctl	258	72.55555248704124
mypy	259	72.63998889869295
aioxmpp	260	72.72347348677899
sortedcollections	261	72.80536666719848
webrtcvad-wheels	262	72.88390511516388
fortnitepy	263	72.9623431545318
azure-nspkg	264	73.04035876826747
jsonpickle	265	73.11832260167385
geopy	266	73.19596031418553
pyodbc	267	73.27288755212403
elasticsearch	268	73.3493184949512
openpyxl	269	73.4251564670988
sanic	270	73.49983368965405
proto-plus	271	73.57371157423496
applicationinsights	272	73.64649335737874
lockfile	273	73.71818318002842
cached-property	274	73.78952829080337
scandir	275	73.86065766462745
jdcal	276	73.93161646868214
singledispatch	277	74.00233152570569
portalocker	278	74.0727941088152
ansible	279	74.14265482130789
google-pasta	280	74.2124604036338
python-dotenv	281	74.28217137468243
sentry-sdk	282	74.35130941227132
et-xmlfile	283	74.42023303553886
tensorboard-plugin-wit	284	74.48837592417314
oscrypto	285	74.55603253012549
typing-inspect	286	74.62326030743522
marshmallow	287	74.68992648634412
text-unidecode	288	74.75632283646137
black	289	74.82269026178258
ijson	290	74.88853057595979
selenium	291	74.95396038053185
funcsigs	292	75.01937311452983
opencv-python	293	75.08376186130437
greenlet	294	75.14767708197368
snowflake-connector-python	295	75.211509706281
hpack	296	75.27516103145017
dataclasses	297	75.33876037851364
astunparse	298	75.40223967531257
hyperframe	299	75.46565459589881
xgboost	300	75.52887994782186
monotonic	301	75.59163076003573
azure-mgmt-resource	302	75.65437928546017
databricks-cli	303	75.71712478243373
shapely	304	75.77951062305465
backports-functools-lru-cache	305	75.84125572999947
nose	306	75.90284480373906
pypandoc	307	75.96423424694196
mozlog	308	76.0252629460221
mozrunner	309	76.08596609281464
h2	310	76.14632724715777
discord-py	311	76.20658605222263
argcomplete	312	76.26670899727334
bs4	313	76.32672862888593
incremental	314	76.38668782745246
pycrypto	315	76.44658067204246
plotly	316	76.50633841064078
secretstorage	317	76.56575602330426
pysftp	318	76.6245292681506
snowballstemmer	319	76.6829800756874
jeepney	320	76.74094252389023
msal	321	76.79795112131946
opt-einsum	322	76.85469366006934
unidecode	323	76.90996224560219
idna-ssl	324	76.96515361181847
sphinx	325	77.01938446466924
hstspreload	326	77.07268119494061
amqp	327	77.12536526342127
kombu	328	77.1777641383575
netaddr	329	77.23011138129674
libcst	330	77.28235193623831
keras-applications	331	77.33435478868947
keyring	332	77.38631901294079
msal-extensions	333	77.43822219845588
ecdsa	334	77.49012451869929
grpc-google-iam-v1	335	77.54188458827916
fuzzywuzzy	336	77.59349732681467
gevent	337	77.64509636933563
toolz	338	77.69644004546295
html5lib	339	77.74771441332904
httpcore	340	77.79833904869359
kafka-python	341	77.84871128431024
sklearn	342	77.8984095969015
twisted	343	77.94798857616763
celery	344	77.9971898272641
pygsheets	345	78.04599728085978
ezfnsetup	346	78.09478328807892
pkginfo	347	78.14319653626004
python-jose	348	78.1915759523186
ply	349	78.23973959434323
readme-renderer	350	78.28761852490337
astor	351	78.33526197795739
pytest-forked	352	78.38273313069867
thrift	353	78.42999401006165
djangorestframework	354	78.47708485117926
prometheus-flask-exporter	355	78.52392257560959
alabaster	356	78.5703002968949
imagesize	357	78.61663244308492
humanfriendly	358	78.6628951697645
kubernetes	359	78.70884453212608
graphviz	360	78.75450327445373
pytest-xdist	361	78.79999246061594
mlflow	362	78.84541502085911
execnet	363	78.89069204240637
